X,Y,fid,TIPO,icon_url
-109.715792,23.808189,"1",SECUNDARIA,
-110.4226,23.657817,"2",SECUNDARIA,
-112.084538,27.030447,"3",SECUNDARIA,
-113.787404,27.881598,"4",SECUNDARIA,
-109.986778,23.169413,"5",INICIAL GENERAL,
-111.937837,26.869449,"6",SECUNDARIA,
-113.29,27.4702,"7",PRIMARIA,
-110.215328,23.47351,"8",PRIMARIA,
-112.13973,24.633516,"9",SECUNDARIA,
-112.929,27.2886,"10",PRIMARIA,
-112.259,26.6725,"11",PRIMARIA,
-114.892,27.7131,"12",PRIMARIA,
-110.297784,24.112681,"13",SECUNDARIA,
-110.371026,24.049028,"14",SECUNDARIA,
-109.706565,23.154654,"15",SECUNDARIA,
-109.706565,23.154654,"16",SECUNDARIA,
-113.299867,27.468008,"17",SECUNDARIA,
-110.281,23.7188,"18",PRIMARIA,
-109.690008,23.136226,"19",SECUNDARIA,
-113.224,27.3505,"20",PRIMARIA,
-110.278889,24.021944,"21",SECUNDARIA,
-112.914391,26.534356,"22",SECUNDARIA,
-111.145598,24.792868,"23",INICIAL GENERAL,
-112.642133,26.837231,"24",PRIMARIA,
-113.358595,27.59157,"25",PRIMARIA,
-110.311,24.1422,"26",SECUNDARIA,
-111.628611,25.258611,"27",INICIAL GENERAL,
-111.51319,25.641271,"28",INICIAL GENERAL,
-113.057774,26.606314,"29",PRIMARIA,
-110.814834,24.812764,"30",SECUNDARIA,
-111.272853,25.739785,"31",SECUNDARIA,
-113.452,27.625,"32",PRIMARIA,
-110.095105,23.046454,"33",PRIMARIA,
-111.155517,24.73727,"34",PRIMARIA,
-109.925998,22.923694,"35",PRIMARIA,
-109.986778,23.169413,"36",SECUNDARIA,
-110.953305,24.841297,"37",SECUNDARIA,
-109.715076,23.119127,"38",PRIMARIA,
-111.494805,26.242165,"39",PRIMARIA,
-111.145598,24.792868,"40",PRIMARIA,
-111.2132,24.304896,"41",PRIMARIA,
-109.78,23.3336,"42",INICIAL GENERAL,
-110.061603,23.804493,"43",SECUNDARIA,
-109.70708,23.060465,"44",PREESCOLAR,
-111.071,25.5121,"45",INICIAL GENERAL,
-112.085,27.0315,"46",INICIAL GENERAL,
-111.643,25.0678,"47",INICIAL GENERAL,
-110.291403,24.147625,"48",SECUNDARIA,
-111.993599,26.889314,"49",SECUNDARIA,
-113.573119,26.71565,"50",SECUNDARIA,
-110.108757,23.802659,"51",PREESCOLAR,
-114.891,27.692689,"52",SECUNDARIA,
-110.315052,24.156302,"53",PREESCOLAR,
-109.706017,23.070363,"54",PREESCOLAR,
-112.076727,27.186599,"55",PREESCOLAR,
-112.273,26.0653,"56",PRIMARIA,
-111.227,24.8403,"57",PRIMARIA,
-112.085,24.8215,"58",PRIMARIA,
-111.673,25.0344,"59",PRIMARIA,
-113.035867,27.708268,"60",PRIMARIA,
-110.328218,24.144915,"61",SECUNDARIA,
-109.925,22.897,"62",PRIMARIA,
-109.729,23.4635,"63",INICIAL GENERAL,
-110.024,23.0745,"64",INICIAL GENERAL,
-114.056208,27.958492,"65",PREESCOLAR,
-110.315072,24.132871,"66",PREESCOLAR,
-110.31305,24.141602,"67",SECUNDARIA,
-110.31305,24.141602,"68",SECUNDARIA,
-111.830079,25.116862,"69",SECUNDARIA,
-109.717578,23.681735,"70",SECUNDARIA,
-110.412036,24.096424,"71",SECUNDARIA,
