X,Y,fid,TIPO,icon_url
-109.92033,22.893358,"1",BACHILLERATO,
-109.92033,22.893358,"2",BACHILLERATO,
-109.777311,23.372033,"3",BACHILLERATO,
-110.061431,23.804538,"4",BACHILLERATO,
-110.816477,23.983746,"5",BACHILLERATO,
-110.164951,23.363946,"6",BACHILLERATO,
-112.161833,27.162304,"7",BACHILLERATO,
-111.771275,25.267413,"8",BACHILLERATO,
-111.827222,25.115833,"9",BACHILLERATO,
-109.94416,22.945999,"10",BACHILLERATO,
-109.94416,22.945999,"11",BACHILLERATO,
-111.105278,24.394167,"12",BACHILLERATO,
-109.717683,23.681881,"13",BACHILLERATO,
-109.589529,23.592729,"14",BACHILLERATO,
-109.747688,23.843342,"15",BACHILLERATO,
-109.711419,23.135864,"16",BACHILLERATO,
-109.711419,23.135864,"17",BACHILLERATO,
-110.268926,23.934208,"18",BACHILLERATO,
-111.071195,25.512089,"19",BACHILLERATO,
-111.561635,25.203889,"20",BACHILLERATO,
-109.994384,24.076129,"21",BACHILLERATO,
-113.443482,27.64903,"22",BACHILLERATO,
-110.219837,23.44644,"23",BACHILLERATO,
-112.223115,27.222137,"24",BACHILLERATO,
-109.92383,22.95101,"25",BACHILLERATO,
-111.642405,25.068844,"26",BACHILLERATO,
-109.699327,23.056902,"27",BACHILLERATO,
-110.326699,24.088095,"28",BACHILLERATO,
-109.933005,22.93895,"29",BACHILLERATO,
-109.924384,22.936894,"30",BACHILLERATO,
-112.913499,26.532826,"31",BACHILLERATO,
-110.318688,24.070183,"32",BACHILLERATO,
-111.353951,26.007301,"33",BACHILLERATO,
-111.353951,26.007301,"34",BACHILLERATO,
-110.172627,24.085722,"35",BACHILLERATO,
-114.041841,27.97298,"36",BACHILLERATO,
-110.290443,24.149098,"37",BACHILLERATO,
-110.320316,24.133512,"38",BACHILLERATO,
-110.320316,24.133512,"39",BACHILLERATO,
-111.754429,25.262561,"40",BACHILLERATO,
-109.698554,23.054874,"41",BACHILLERATO,
-109.698554,23.054874,"42",BACHILLERATO,
-111.672985,25.024273,"43",BACHILLERATO,
-112.10619,25.190896,"44",BACHILLERATO,
-111.942492,26.873493,"45",BACHILLERATO,
-109.713496,23.10213,"46",BACHILLERATO,
-109.943103,22.942252,"47",BACHILLERATO,
-111.343333,26.012778,"48",BACHILLERATO,
-111.652642,25.026463,"49",BACHILLERATO,
-109.96379,22.913123,"50",BACHILLERATO,
-112.198097,26.001379,"51",BACHILLERATO,
-111.46559,24.591721,"52",BACHILLERATO,
-112.275121,27.352364,"53",BACHILLERATO,
-110.317638,24.135138,"54",BACHILLERATO,
-110.31719,24.134728,"55",BACHILLERATO,
-110.31719,24.134728,"56",BACHILLERATO,
-110.297997,24.112654,"57",BACHILLERATO,
-110.315413,24.110403,"58",BACHILLERATO,
-110.312837,24.057154,"59",BACHILLERATO,
-111.269981,25.734418,"60",BACHILLERATO,
-110.315232,24.110388,"61",BACHILLERATO,
-110.315232,24.110388,"62",BACHILLERATO,
-109.926668,22.937173,"63",BACHILLERATO,
-110.279701,24.021588,"64",BACHILLERATO,
-109.926668,22.937173,"65",BACHILLERATO,
-109.669442,23.068219,"66",BACHILLERATO,
-111.847439,24.504725,"67",BACHILLERATO,
-110.31907,24.129151,"68",BACHILLERATO,
-110.31907,24.129151,"69",BACHILLERATO,
-112.707493,27.362471,"70",BACHILLERATO,
-111.39016,25.021631,"71",BACHILLERATO,
-111.39016,25.021631,"72",BACHILLERATO,
-111.627977,24.931435,"73",BACHILLERATO,
-110.301343,24.130749,"74",BACHILLERATO,
-110.301343,24.130749,"75",BACHILLERATO,
-112.104322,24.78469,"76",BACHILLERATO,
-114.018463,27.981508,"77",BACHILLERATO,
-112.894444,27.282222,"78",BACHILLERATO,
-113.784324,27.886446,"79",BACHILLERATO,
-110.310748,23.784441,"80",BACHILLERATO,
-111.346549,26.01882,"81",BACHILLERATO,
-109.967709,23.973408,"82",BACHILLERATO,
-110.69101,24.372881,"83",BACHILLERATO,
-110.308443,24.025502,"84",BACHILLERATO,
-109.738426,23.118873,"85",BACHILLERATO,
-109.738426,23.118873,"86",BACHILLERATO,
-113.573059,26.71876,"87",BACHILLERATO,
-111.919813,25.493474,"88",BACHILLERATO,
-110.34536,24.143298,"89",BACHILLERATO,
-113.711957,26.79756,"90",BACHILLERATO,
-109.926669,22.903607,"91",BACHILLERATO,
-109.926669,22.903607,"92",BACHILLERATO,
-109.714438,23.476676,"93",BACHILLERATO,
-112.026439,25.768344,"94",BACHILLERATO,
-110.290574,24.05704,"95",BACHILLERATO,
-110.290574,24.05704,"96",BACHILLERATO,
-109.705404,23.191056,"97",BACHILLERATO,
-110.305402,24.083293,"98",BACHILLERATO,
-113.37125,27.64261,"99",BACHILLERATO,
-113.37125,27.64261,"100",BACHILLERATO,
-109.693749,23.056154,"101",BACHILLERATO,
-109.693749,23.056154,"102",BACHILLERATO,
-110.4226,23.657817,"103",BACHILLERATO,
-113.289772,27.470018,"104",BACHILLERATO,
-110.298762,24.168618,"105",BACHILLERATO,
-110.814832,24.812781,"106",BACHILLERATO,
-110.267539,24.147185,"107",BACHILLERATO,
-112.043056,26.203889,"108",BACHILLERATO,
-110.372216,24.101289,"109",BACHILLERATO,
-109.703732,23.067489,"110",BACHILLERATO,
-109.703732,23.067489,"111",BACHILLERATO,
-112.478718,26.256898,"112",BACHILLERATO,
-111.840126,25.398359,"113",BACHILLERATO,
-114.298153,27.134677,"114",BACHILLERATO,
-110.316089,24.155427,"115",BACHILLERATO,
-114.890693,27.692886,"116",BACHILLERATO,
-109.943077,22.896456,"117",BACHILLERATO,
-109.943077,22.896456,"118",BACHILLERATO,
-111.643168,25.335684,"119",BACHILLERATO,
-109.939801,22.925238,"120",BACHILLERATO,
-109.926033,22.923888,"121",BACHILLERATO,
-110.413587,24.09568,"122",BACHILLERATO,
-114.041841,27.97298,"123",BACHILLERATO,
-109.712409,23.118162,"124",BACHILLERATO,
-111.676295,25.04487,"125",BACHILLERATO,
-113.147468,26.823227,"126",BACHILLERATO,
-109.72568,23.09327,"127",BACHILLERATO,
-109.72568,23.09327,"128",BACHILLERATO,
-112.076757,27.186293,"129",BACHILLERATO,
-109.73467,23.098584,"130",BACHILLERATO,
-112.271804,27.343825,"131",BACHILLERATO,
-111.681737,25.059618,"132",BACHILLERATO,
-110.345936,24.141787,"133",BACHILLERATO,
-111.353951,26.007301,"134",BACHILLERATO,
-110.267539,24.147185,"135",BACHILLERATO,
-109.967709,23.973408,"136",BACHILLERATO,
-109.738426,23.118873,"137",BACHILLERATO,
-110.413587,24.09568,"138",BACHILLERATO,
