X,Y,fid,TIPO,icon_url
-111.646,25.034,"1",CLINICA HOSPITAL,
-112.273919,27.346368,"2",CLINICA HOSPITAL,
-109.708767,23.068529,"3",CLINICA HOSPITAL,
-111.669109,25.022918,"4",HOSPITAL GENERAL DE SUBZONA CON MEDICINA FAMILIAR,
-114.049727,27.966784,"5",HOSPITAL GENERAL DE SUBZONA,
-110.318703,24.145969,"6",HOSPITAL GENERAL DE ZONA CON MEDICINA FAMILIAR,
-109.927906,22.899623,"7",HOSPITAL GENERAL DE SUBZONA CON MEDICINA FAMILIAR,
-112.907,27.2908,"8",HOSPITAL GENERAL DE SUBZONA CON MEDICINA FAMILIAR,
-109.7080063,23.06156955,"9",HOSPITAL GENERAL DE SUBZONA,
-110.305,24.1488,"10",HOSPITAL GENERAL,
-110.341179,24.138213,"11",HOSPITAL GENERAL,
-111.6745529,25.03180436,"12",HOSPITAL GENERAL,
-110.3188638,24.1127408,"13",HOSPITAL GENERAL,
-109.7082831,23.0617522,"14",HOSPITAL GENERAL,
-109.9248226,22.9027676,"15",HOSPITAL GENERAL,
-110.318457,24.113297,"16",HOSPITAL GENERAL,
-111.6618657,25.01838284,"17",HOSPITAL GENERAL,
-110.309093,24.166926,"18",NO ESPECIFICADO,
-110.29631,24.152705,"19",NO ESPECIFICADO,
-110.29631,24.152705,"20",NO ESPECIFICADO,
-111.822,24.478,"21",NO ESPECIFICADO,
-112.264972,27.335817,"22",NO ESPECIFICADO,
-110.33,24.1511,"23",NO ESPECIFICADO,
-110.398409,24.096708,"24",HOSPITAL PSIQUIATRICO,
-109.924185,22.903115,"25",HOSPITAL MOVIL,
-111.364929,26.007202,"26",HOSPITAL INTEGRAL (COMUNITARIO),
-110.3147298,24.1215229,"27",UNIDAD DE ESPECIALIDADES MEDICAS (UNEMES),
-110.31905,24.11072,"28",UNIDAD DE ESPECIALIDADES MEDICAS (UNEMES),
