X,Y,fid,CLAVE,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,Clasifica,POBFEM,POBMAS,POB0_14,POB15_64,POB65_MAS,VIVTOT,CVEGEO_L,Pob_001,FID_1,Shape__,CLAVE_1,ENTIDAD_1,NOM_ENT_1,MUN_1,NOM_MUN_1,LOC_1,NOM_LOC_1,POBTOT_1,Clasific_1,POBFEM_1,POBMAS_1,POB0_14_15,POB15_6_65,POB65_MA_1,VIVTOT_1,CVEGEO_L_1,Pob_0012,Tipo_A,REGION,Sistema_C,UGA,LATITUD,LONGITUD,icon_url
-110.393030250146,24.0919477200113,"1",30032132,3,Baja California Sur,"003",La Paz,"2132",El Arroyo del Gato,"9","5","4","5","2","6","1","5","30032132","9",0,Point ZM,30032132,3,Baja California Sur,3,La Paz,2132,El Arroyo del Gato,9,5,4,5,2,6,1,5,30032132,9,Rancho,2,,41,24.09194772,-110.39303025,./0.png
-109.70163910626,23.7106592032597,"2",30031406,3,Baja California Sur,"003",La Paz,"1406",El Bledito,"1","5",*,*,*,*,*,"2","30031406","1",1,Point ZM,30031406,3,Baja California Sur,3,La Paz,1406,El Bledito,1,5,0,0,0,0,0,2,30031406,1,Rancho,3,,31,23.7106592033,-109.701639106,./0.png
-110.153150737117,23.3569411224349,"3",30030247,3,Baja California Sur,"003",La Paz,"0247",El Cebú,"1","5",*,*,*,*,*,"1","30030247","1",2,Point ZM,30030247,3,Baja California Sur,3,La Paz,247,El Cebú,1,5,0,0,0,0,0,1,30030247,1,Rancho,13,,32,23.3569411224,-110.153150737,./0.png
-109.701872895817,23.0800323928807,"4",30081440,3,Baja California Sur,"008",Los Cabos,"1440",El Oasis,"2","5",*,*,*,*,*,"1","30081440","2",3,Point ZM,30081440,3,Baja California Sur,8,Los Cabos,1440,El Oasis,2,5,0,0,0,0,0,1,30081440,2,Rancho,17,,36,23.0800323929,-109.701872896,./0.png
-109.697651925996,23.0671890803118,"5",30080897,3,Baja California Sur,"008",Los Cabos,"0897",El Pozo de Arámburo,"2","5",*,*,*,*,*,"1","30080897","2",4,Point ZM,30080897,3,Baja California Sur,8,Los Cabos,897,El Pozo de Arámburo,2,5,0,0,0,0,0,1,30080897,2,Rancho,17,,36,23.0671890803,-109.697651926,./0.png
-110.311241510088,24.0630310466456,"6",30032143,3,Baja California Sur,"003",La Paz,"2143",El Scirocco,"1","5",*,*,*,*,*,"1","30032143","1",5,Point ZM,30032143,3,Baja California Sur,3,La Paz,2143,El Scirocco,1,5,0,0,0,0,0,1,30032143,1,Rancho,2,,41,24.0630310466,-110.31124151,./0.png
-110.231574015329,23.4710766769471,"7",30032911,3,Baja California Sur,"003",La Paz,"2911",El Vuelo del Águila,"4","5",*,*,*,*,*,"1","30032911","4",6,Point ZM,30032911,3,Baja California Sur,3,La Paz,2911,El Vuelo del Águila,4,5,0,0,0,0,0,1,30032911,4,Rancho,13,,32,23.4710766769,-110.231574015,./0.png
-110.178904046085,23.3747319832945,"8",30032767,3,Baja California Sur,"003",La Paz,"2767",Felipes [Restaurante],"41","4","20","21","9","27","5","13","30032767","41",7,Point ZM,30032767,3,Baja California Sur,3,La Paz,2767,Felipes [Restaurante],41,4,20,21,9,27,5,13,30032767,41,Comunidad,13,,32,23.3747319833,-110.178904046,./1.png
-110.202045264278,23.5057520349285,"9",30032574,3,Baja California Sur,"003",La Paz,"2574",Kilómetro 44,"9","5","5","4","3","6","0","3","30032574","9",8,Point ZM,30032574,3,Baja California Sur,3,La Paz,2574,Kilómetro 44,9,5,5,4,3,6,0,3,30032574,9,Rancho,13,,32,23.5057520349,-110.202045264,./0.png
-110.216539909289,23.4677241788278,"10",30033165,3,Baja California Sur,"003",La Paz,"3165",Kilómetro 80,"4","5",*,*,*,*,*,"2","30033165","4",9,Point ZM,30033165,3,Baja California Sur,3,La Paz,3165,Kilómetro 80,4,5,0,0,0,0,0,2,30033165,4,Rancho,13,,32,23.4677241788,-110.216539909,./0.png
-110.20575613144,23.4944140525665,"11",30032568,3,Baja California Sur,"003",La Paz,"2568",La Joya del Mar [Empacadora],"40","4","18","22","8","30","2","9","30032568","40",10,Point ZM,30032568,3,Baja California Sur,3,La Paz,2568,La Joya del Mar [Empacadora],40,4,18,22,8,30,2,9,30032568,40,Comunidad,13,,32,23.4944140526,-110.205756131,./1.png
-109.952946087792,22.9239884975712,"12",30081359,3,Baja California Sur,"008",Los Cabos,"1359",Los Ramírez,"18","5","7","11","1","17","0","6","30081359","18",11,Point ZM,30081359,3,Baja California Sur,8,Los Cabos,1359,Los Ramírez,18,5,7,11,1,17,0,6,30081359,18,Rancho,17,,40,22.9239884976,-109.952946088,./0.png
-110.208423202269,23.4917398033492,"13",30033182,3,Baja California Sur,"003",La Paz,"3182",Rancho Teresita,"2","5",*,*,*,*,*,"1","30033182","2",12,Point ZM,30033182,3,Baja California Sur,3,La Paz,3182,Rancho Teresita,2,5,0,0,0,0,0,1,30033182,2,Rancho,13,,32,23.4917398033,-110.208423202,./0.png
-110.204296388767,23.4997427776071,"14",30033185,3,Baja California Sur,"003",La Paz,"3185",San Antonio (Kilómetro 45),"1","5",*,*,*,*,*,"3","30033185","1",13,Point ZM,30033185,3,Baja California Sur,3,La Paz,3185,San Antonio (Kilómetro 45),1,5,0,0,0,0,0,3,30033185,1,Rancho,13,,32,23.4997427776,-110.204296389,./0.png
